Date,Action,Time Taken
21-03-2012 13:36:21,FleetMovement,17.001
21-03-2012 13:36:21,AuctionTimeout,6.0003
21-03-2012 13:36:21,MarketReinforce,5.0003
21-03-2012 13:36:21,VacationTimeout,3.0002
21-03-2012 13:36:21,AutoStartVacationsHandler,9.0005
Number of moving fleet:,0,In a total of:,0
Number of moving fleet:,0,In a total of:,0
21-03-2012 13:46:49,FleetMovement,23020.3166
21-03-2012 13:46:50,AuctionTimeout,6.0003
21-03-2012 13:46:50,VacationTimeout,4.0002
21-03-2012 13:46:50,AutoStartVacationsHandler,10.0006
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 13:56:52,FleetMovement,2931.1677
21-03-2012 13:56:53,AuctionTimeout,8.0004
21-03-2012 13:56:53,VacationTimeout,3.0002
21-03-2012 13:56:53,AutoStartVacationsHandler,13.0008
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 14:06:52,FleetMovement,2040.1167
21-03-2012 14:06:52,AuctionTimeout,2.0002
21-03-2012 14:06:52,VacationTimeout,2.0001
21-03-2012 14:06:52,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 14:16:51,FleetMovement,1924.11
21-03-2012 14:16:52,AuctionTimeout,2.0001
21-03-2012 14:16:52,VacationTimeout,2.0001
21-03-2012 14:16:52,AutoStartVacationsHandler,2.0001
21-03-2012 14:16:52,EndBounties,6.0003
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 14:26:52,FleetMovement,2004.1146
21-03-2012 14:26:52,AuctionTimeout,3.0002
21-03-2012 14:26:52,VacationTimeout,2.0001
21-03-2012 14:26:52,AutoStartVacationsHandler,1.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 14:36:52,FleetMovement,2010.115
21-03-2012 14:36:52,AuctionTimeout,3.0001
21-03-2012 14:36:52,VacationTimeout,2.0001
21-03-2012 14:36:52,AutoStartVacationsHandler,5.0003
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 14:46:52,FleetMovement,1991.1139
21-03-2012 14:46:52,AuctionTimeout,3.0001
21-03-2012 14:46:52,VacationTimeout,6.0003
21-03-2012 14:46:52,AutoStartVacationsHandler,6.0003
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 14:56:51,FleetMovement,1904.109
21-03-2012 14:56:52,AuctionTimeout,3.0002
21-03-2012 14:56:52,VacationTimeout,2.0001
21-03-2012 14:56:52,AutoStartVacationsHandler,1.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 15:06:52,FleetMovement,1970.1127
21-03-2012 15:06:52,AuctionTimeout,3.0002
21-03-2012 15:06:52,VacationTimeout,2.0001
21-03-2012 15:06:52,AutoStartVacationsHandler,2.0001
21-03-2012 15:06:52,EndBounties,1.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 15:16:52,FleetMovement,1941.111
21-03-2012 15:16:52,AuctionTimeout,3.0001
21-03-2012 15:16:52,VacationTimeout,2.0001
21-03-2012 15:16:52,AutoStartVacationsHandler,5.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 15:26:52,FleetMovement,1980.1132
21-03-2012 15:26:52,AuctionTimeout,2.0001
21-03-2012 15:26:52,VacationTimeout,2.0001
21-03-2012 15:26:52,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 15:36:52,FleetMovement,1969.1126
21-03-2012 15:36:52,AuctionTimeout,3.0002
21-03-2012 15:36:52,VacationTimeout,2.0001
21-03-2012 15:36:52,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 15:46:52,FleetMovement,1899.1087
21-03-2012 15:46:52,AuctionTimeout,2.0001
21-03-2012 15:46:52,VacationTimeout,2.0002
21-03-2012 15:46:52,AutoStartVacationsHandler,1
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
21-03-2012 15:56:52,FleetMovement,1950.1115
21-03-2012 15:56:52,AuctionTimeout,2.0001
21-03-2012 15:56:52,VacationTimeout,2.0002
21-03-2012 15:56:52,AutoStartVacationsHandler,2.0001
21-03-2012 15:56:52,EndBounties,1.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 12:12:53,FleetMovement,2016.1153
23-03-2012 12:12:53,AuctionTimeout,6.0003
23-03-2012 12:12:53,VacationTimeout,3.0001
23-03-2012 12:12:53,AutoStartVacationsHandler,3.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 12:22:55,FleetMovement,1957.1119
23-03-2012 12:22:55,AuctionTimeout,6.0003
23-03-2012 12:22:55,VacationTimeout,2.0001
23-03-2012 12:22:55,AutoStartVacationsHandler,4.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 12:32:54,FleetMovement,1641.0939
23-03-2012 12:32:55,AuctionTimeout,2.0001
23-03-2012 12:32:55,VacationTimeout,1
23-03-2012 12:32:55,AutoStartVacationsHandler,1.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 12:42:54,FleetMovement,1668.0954
23-03-2012 12:42:55,AuctionTimeout,3.0002
23-03-2012 12:42:55,VacationTimeout,2.0001
23-03-2012 12:42:55,AutoStartVacationsHandler,1
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 12:52:54,FleetMovement,1651.0944
23-03-2012 12:52:55,AuctionTimeout,3.0002
23-03-2012 12:52:55,VacationTimeout,1
23-03-2012 12:52:55,AutoStartVacationsHandler,1.0001
23-03-2012 12:52:55,EndBounties,4.0003
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 13:02:54,FleetMovement,1605.0918
23-03-2012 13:02:55,AuctionTimeout,3.0001
23-03-2012 13:02:55,VacationTimeout,2.0001
23-03-2012 13:02:55,AutoStartVacationsHandler,1
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 13:17:07,FleetMovement,2311.1322
23-03-2012 13:17:10,AuctionTimeout,2.0001
23-03-2012 13:17:10,VacationTimeout,2.0002
23-03-2012 13:17:10,AutoStartVacationsHandler,1.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 13:27:07,FleetMovement,1572.0899
23-03-2012 13:27:07,AuctionTimeout,2.0001
23-03-2012 13:27:07,VacationTimeout,2.0001
23-03-2012 13:27:07,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 14:42:52,FleetMovement,3541.2025
23-03-2012 14:42:53,AuctionTimeout,5.0003
23-03-2012 14:42:53,VacationTimeout,9.0005
23-03-2012 14:42:53,AutoStartVacationsHandler,4.0003
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 14:52:50,FleetMovement,2174.1243
23-03-2012 14:52:51,AuctionTimeout,3.0002
23-03-2012 14:52:51,VacationTimeout,2.0001
23-03-2012 14:52:51,AutoStartVacationsHandler,4.0002
23-03-2012 14:52:51,EndBounties,4.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 15:02:50,FleetMovement,2194.1255
23-03-2012 15:02:51,AuctionTimeout,3.0002
23-03-2012 15:02:51,VacationTimeout,2.0002
23-03-2012 15:02:51,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 15:12:50,FleetMovement,2060.1179
23-03-2012 15:12:51,AuctionTimeout,3.0002
23-03-2012 15:12:51,VacationTimeout,3.0002
23-03-2012 15:12:51,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
23-03-2012 15:22:52,FleetMovement,2638.1509
23-03-2012 15:22:54,AuctionTimeout,4.0002
