Date,Action,Time Taken
05-04-2012 10:17:10,FleetMovement,92951.3165
05-04-2012 10:17:16,AuctionTimeout,417.0239
05-04-2012 10:17:17,VacationTimeout,287.0164
05-04-2012 10:17:33,AutoStartVacationsHandler,16039.9174
Number of moving fleet:,53,In a total of:,24226
Number of moving fleet:,53,In a total of:,24226
19-04-2012 11:15:53,FleetMovement,86179.9292
19-04-2012 11:16:05,AuctionTimeout,402.023
19-04-2012 11:16:13,MarketReinforce,1085.0621
19-04-2012 11:17:13,VacationTimeout,44652.554
19-04-2012 11:18:54,AutoStartVacationsHandler,86725.9605
Number of moving fleet:,14,In a total of:,24338
Number of moving fleet:,14,In a total of:,24338
